Source File: C:\Users\MarcosP\Documents\Vemco\LoggerVUE\Minilog-II-T_355571_20250405_1.vld
Source Device: Minilog-II-T-355571
Study Description: Molly1
Minilog Initialized: 2025-04-01 18:11:26 (UTC+2)
Study Start Time: 2025-04-02 09:00:00
Study Stop Time: 2025-04-05 12:00:00
Sample Interval: 00:20:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2025-04-02,09:00:00,15.50
2025-04-02,09:20:00,14.36
2025-04-02,09:40:00,13.59
2025-04-02,10:00:00,12.23
2025-04-02,10:20:00,11.80
2025-04-02,10:40:00,3.58
2025-04-02,11:00:00,-2.13
2025-04-02,11:20:00,-9.76
2025-04-02,11:40:00,-1.93
2025-04-02,12:00:00,-1.81
2025-04-02,12:20:00,-1.80
2025-04-02,12:40:00,-1.79
2025-04-02,13:00:00,-1.75
2025-04-02,13:20:00,-1.76
2025-04-02,13:40:00,-1.75
2025-04-02,14:00:00,-1.76
2025-04-02,14:20:00,-1.76
2025-04-02,14:40:00,-1.76
2025-04-02,15:00:00,-1.76
2025-04-02,15:20:00,-1.74
2025-04-02,15:40:00,-1.75
2025-04-02,16:00:00,-1.71
2025-04-02,16:20:00,-1.71
2025-04-02,16:40:00,-1.72
2025-04-02,17:00:00,-1.71
2025-04-02,17:20:00,-1.71
2025-04-02,17:40:00,-1.71
2025-04-02,18:00:00,-1.71
2025-04-02,18:20:00,-1.71
2025-04-02,18:40:00,-1.71
2025-04-02,19:00:00,-1.70
2025-04-02,19:20:00,-1.70
2025-04-02,19:40:00,-1.70
2025-04-02,20:00:00,-1.70
2025-04-02,20:20:00,-1.70
2025-04-02,20:40:00,-1.69
2025-04-02,21:00:00,-1.70
2025-04-02,21:20:00,-1.70
2025-04-02,21:40:00,-1.71
2025-04-02,22:00:00,-1.70
2025-04-02,22:20:00,-1.70
2025-04-02,22:40:00,-1.72
2025-04-02,23:00:00,-1.72
2025-04-02,23:20:00,-1.76
2025-04-02,23:40:00,-1.77
2025-04-03,00:00:00,-1.77
2025-04-03,00:20:00,-1.77
2025-04-03,00:40:00,-1.77
2025-04-03,01:00:00,-1.76
2025-04-03,01:20:00,-1.76
2025-04-03,01:40:00,-1.76
2025-04-03,02:00:00,-1.76
2025-04-03,02:20:00,-1.76
2025-04-03,02:40:00,-1.75
2025-04-03,03:00:00,-1.76
2025-04-03,03:20:00,-1.76
2025-04-03,03:40:00,-1.77
2025-04-03,04:00:00,-1.76
2025-04-03,04:20:00,-1.77
2025-04-03,04:40:00,-1.76
2025-04-03,05:00:00,-1.77
2025-04-03,05:20:00,-1.77
2025-04-03,05:40:00,-1.77
2025-04-03,06:00:00,-1.78
2025-04-03,06:20:00,-1.77
2025-04-03,06:40:00,-1.76
2025-04-03,07:00:00,-1.76
2025-04-03,07:20:00,-1.76
2025-04-03,07:40:00,-1.75
2025-04-03,08:00:00,-1.75
2025-04-03,08:20:00,-1.75
2025-04-03,08:40:00,-1.75
2025-04-03,09:00:00,-1.74
2025-04-03,09:20:00,-1.75
2025-04-03,09:40:00,-1.75
2025-04-03,10:00:00,-1.75
2025-04-03,10:20:00,-1.75
2025-04-03,10:40:00,-1.76
2025-04-03,11:00:00,-1.77
2025-04-03,11:20:00,-1.77
2025-04-03,11:40:00,-1.77
2025-04-03,12:00:00,-1.78
2025-04-03,12:20:00,-1.79
2025-04-03,12:40:00,-1.79
2025-04-03,13:00:00,-1.79
2025-04-03,13:20:00,-1.78
2025-04-03,13:40:00,-1.79
2025-04-03,14:00:00,-1.78
2025-04-03,14:20:00,-1.79
2025-04-03,14:40:00,-1.79
2025-04-03,15:00:00,-1.79
2025-04-03,15:20:00,-1.78
2025-04-03,15:40:00,-1.78
2025-04-03,16:00:00,-1.78
2025-04-03,16:20:00,-1.78
2025-04-03,16:40:00,-1.79
2025-04-03,17:00:00,-1.80
2025-04-03,17:20:00,-1.80
2025-04-03,17:40:00,-1.79
2025-04-03,18:00:00,-1.79
2025-04-03,18:20:00,-1.79
2025-04-03,18:40:00,-1.78
2025-04-03,19:00:00,-1.77
2025-04-03,19:20:00,-1.76
2025-04-03,19:40:00,-1.76
2025-04-03,20:00:00,-1.76
2025-04-03,20:20:00,-1.77
2025-04-03,20:40:00,-1.76
2025-04-03,21:00:00,-1.77
2025-04-03,21:20:00,-1.77
2025-04-03,21:40:00,-1.77
2025-04-03,22:00:00,-1.76
2025-04-03,22:20:00,-1.77
2025-04-03,22:40:00,-1.78
2025-04-03,23:00:00,-1.78
2025-04-03,23:20:00,-1.77
2025-04-03,23:40:00,-1.77
2025-04-04,00:00:00,-1.77
2025-04-04,00:20:00,-1.77
2025-04-04,00:40:00,-1.77
2025-04-04,01:00:00,-1.78
2025-04-04,01:20:00,-1.76
2025-04-04,01:40:00,-1.76
2025-04-04,02:00:00,-1.76
2025-04-04,02:20:00,-1.75
2025-04-04,02:40:00,-1.75
2025-04-04,03:00:00,-1.74
2025-04-04,03:20:00,-1.74
2025-04-04,03:40:00,-1.74
2025-04-04,04:00:00,-1.74
2025-04-04,04:20:00,-1.74
2025-04-04,04:40:00,-1.75
2025-04-04,05:00:00,-1.74
2025-04-04,05:20:00,-1.74
2025-04-04,05:40:00,-1.73
2025-04-04,06:00:00,-1.72
2025-04-04,06:20:00,-1.73
2025-04-04,06:40:00,-1.74
2025-04-04,07:00:00,-1.74
2025-04-04,07:20:00,-1.75
2025-04-04,07:40:00,-1.76
2025-04-04,08:00:00,-1.75
2025-04-04,08:20:00,-1.74
2025-04-04,08:40:00,-1.76
2025-04-04,09:00:00,-1.76
2025-04-04,09:20:00,-1.77
2025-04-04,09:40:00,-1.77
2025-04-04,10:00:00,-1.77
2025-04-04,10:20:00,-1.78
2025-04-04,10:40:00,-1.78
2025-04-04,11:00:00,-1.78
2025-04-04,11:20:00,-1.78
2025-04-04,11:40:00,-1.77
2025-04-04,12:00:00,-1.78
2025-04-04,12:20:00,-1.78
2025-04-04,12:40:00,-1.76
2025-04-04,13:00:00,-1.75
2025-04-04,13:20:00,-1.75
2025-04-04,13:40:00,-1.76
2025-04-04,14:00:00,-1.77
2025-04-04,14:20:00,-1.77
2025-04-04,14:40:00,-1.77
2025-04-04,15:00:00,-1.77
2025-04-04,15:20:00,-1.77
